Reference #,Date,Artist,Touring/Local
232,8/11/17,Band407,Touring Act
758,8/12/17,Band182,Touring Act
1097,8/13/17,Band233,Touring Act
420,8/17/17,Band19,Touring Act
1080,8/19/17,Band207,Touring Act
491,8/20/17,Band187,Touring Act
86,8/24/17,Band406,Local
1027,8/25/17,Band312,Touring Act
191,8/26/17,Band246,Touring Act
96,9/1/17,Band91,Touring Act
72,9/5/17,Band160,Touring Act
380,9/6/17,Band149,Touring Act
245,9/8/17,Band275,Touring Act
419,9/11/17,Band99,Touring Act
1132,9/12/17,Band50,Touring Act
527,9/13/17,Band467,Touring Act
1061,9/14/17,Band296,Touring Act
163,9/18/17,Band27,Touring Act
918,9/23/17,Band51,Touring Act
647,9/24/17,Band140,Touring Act
468,9/26/17,Band441,Touring Act
110,9/27/17,Band75,Touring Act
692,9/28/17,Band210,Touring Act
439,9/29/17,Band451,Touring Act
770,10/1/17,Band93,Touring Act
779,10/3/17,Band88,Touring Act
778,10/3/17,Band292,Touring Act
1029,10/5/17,Band108,Touring Act
1010,10/6/17,Band33,Touring Act
424,10/7/17,Band412,Touring Act
516,10/8/17,Band67,Touring Act
120,10/9/17,Band463,Touring Act
773,10/11/17,Band209,Touring Act
540,10/12/17,Band344,Touring Act
816,10/13/17,Band157,Touring Act
152,10/17/17,Band15,Touring Act
762,10/19/17,Band96,Touring Act
73,10/20/17,Band11,Touring Act
189,10/21/17,Band228,Touring Act
418,10/22/17,Band39,Touring Act
781,10/24/17,Band436,Touring Act
595,10/26/17,Band323,Touring Act
648,10/28/17,Band366,Touring Act
349,10/29/17,Band300,Touring Act
866,11/1/17,Band180,Touring Act
174,11/1/17,Band194,Touring Act
523,11/2/17,Band350,Touring Act
688,11/3/17,Band58,Touring Act
788,11/4/17,Band64,Touring Act
831,11/5/17,Band362,Touring Act
199,11/7/17,Band427,Touring Act
884,11/9/17,Band10,Touring Act
331,11/10/17,Band36,Touring Act
183,11/11/17,Band265,Touring Act
882,11/12/17,Band245,Touring Act
1008,11/12/17,Band288,Touring Act
1059,11/13/17,Band119,Touring Act
1012,11/17/17,Band215,Touring Act
1116,11/18/17,Band66,Touring Act
727,11/19/17,Band393,Touring Act
601,11/30/17,Band397,Touring Act
466,12/2/17,Band317,Touring Act
41,12/3/17,Band83,Touring Act
1043,12/6/17,Band320,Touring Act
20,12/13/17,Band89,Touring Act
533,12/22/17,Band392,Local
633,12/23/17,Band431,Local
899,1/5/18,Band231,Touring Act
545,1/12/18,Band266,Local
787,1/19/18,Band422,Touring Act
1077,1/20/18,Band222,Touring Act
1039,1/24/18,Band131,Touring Act
872,2/9/18,Band200,Touring Act
1104,2/11/18,Band343,Touring Act
53,2/15/18,Band42,Touring Act
1156,2/16/18,Band152,Touring Act
652,2/16/18,Band212,Touring Act
489,2/22/18,Band115,Touring Act
634,2/26/18,Band34,Touring Act
137,2/28/18,Band92,Touring Act
1127,3/2/18,Band123,Touring Act
1003,3/3/18,Band78,Touring Act
469,3/7/18,Band428,Touring Act
374,3/9/18,Band6,Touring Act
76,3/9/18,Band286,Touring Act
814,3/10/18,Band366,Local
784,3/15/18,Band249,Touring Act
