Date,Artists,Day,Showtime,Genre,Returning Act
11/20/19,Band144,Wed,8:00:00 PM,Indie,
11/21/19,Band364,Thu,8:00:00 PM,Folk,
11/22/19,Band88,Fri,9:00:00 PM,Electronic,x
11/23/19,Band135,Sat,9:00:00 PM,hip hop,
11/24/19,Band269,Sun,8:00:00 PM,Indie,
12/4/19,Band21,Wed,8:00:00 PM,Indie,
12/5/19,Band25,Thu,9:00:00 PM,Electronic,
12/5/19,Band309,Thu,9:00:00 PM,Electronic,
12/13/19,Band372,Fri,9:00:00 PM,r&B/Soul,
12/15/19,Band434,Sun,8:00:00 PM,Electronic,
12/20/19,Band127,Fri,9:00:00 PM,R&B/Soul,
1/8/20,Band31,Wed,8:00:00 PM,Roots/Rock,
1/11/20,Band252,Sat,9:00:00 PM,Indie,
1/16/20,Band220,Thu,9:00:00 PM,Electronic,
1/16/20,Band268,Thu,9:00:00 PM,Electronic,
1/17/20,Band70,Fri,7:30:00 PM,Roots/Rock,
1/21/20,Band54,Tue,8:00:00 PM,hip hop,
1/28/20,Band153,Tue,6:30:00 PM,Indie,
1/30/20,Band302,Thu,8:00:00 PM,Folk,
2/1/20,Band241,Sat,9:00:00 PM,Roots/Rock,
2/5/20,Band10,Wed,8:00:00 PM,Indie,x
2/7/20,Band192,Fri,8:00:00 PM,Folk,
2/8/20,Band59,Sat,9:00:00 PM,Electronic,
2/11/20,Band458,Tue,8:00:00 PM,Indie,
2/14/20,Band154,Fri,9:00:00 PM,Electronic,
2/14/20,Band368,Fri,9:00:00 PM,Electronic,
2/16/20,Band104,Sun,8:00:00 PM,Folk,
2/19/20,Band163,Wed,8:00:00 PM,Comedy,
2/20/20,Band304,Thu,8:00:00 PM,Folk,
2/21/20,Band335,Fri,8:00:00 PM,R&B/Soul,x
2/22/20,Band95,Sat,9:00:00 PM,Electronic,
2/29/20,Band299,Sat,9:00:00 PM,Metal,
3/5/20,Band139,Thu,9:00:00 PM,Electronic,
3/5/20,Band235,Thu,9:00:00 PM,Electronic,
